Ventana,Feature,PSI,KS/Chi2,Drift,Performance,Tipo,Metrica_secundaria,Severidad,Nivel_Drift,p_value_fdr,KS_statistic,Cramers_V,TVD,Delta_F1_vs_W1,Perdida_relativa_pct_vs_W1,Estado_performance
W3,contrast_std,0.20257734219882778,0.154,Sí,0.536040979213176,Feature numérica,KS,Drift significativo,2,2.8286316151147145e-05,0.154,,,-0.27828216523455185,34.173431902550455,Deterioro
W3,edge_density,1.4611860753920787,0.204,Sí,0.536040979213176,Feature numérica,KS,Drift significativo,2,4.420143971152834e-09,0.204,,,-0.27828216523455185,34.173431902550455,Deterioro
W3,entropy,0.5120807815449563,0.224,Sí,0.536040979213176,Feature numérica,KS,Drift significativo,2,6.653082065938108e-11,0.224,,,-0.27828216523455185,34.173431902550455,Deterioro
W3,excess_green,0.3444652607105042,0.186,Sí,0.536040979213176,Feature numérica,KS,Drift significativo,2,1.4133733102793898e-07,0.186,,,-0.27828216523455185,34.173431902550455,Deterioro
W3,g_mean,0.12494426740529575,0.132,Warning,0.536040979213176,Feature numérica,KS,Warning,1,0.0005713185968565039,0.132,,,-0.27828216523455185,34.173431902550455,Deterioro
W3,g_std,0.28812431586786175,0.206,Sí,0.536040979213176,Feature numérica,KS,Drift significativo,2,3.0563674177852185e-09,0.206,,,-0.27828216523455185,34.173431902550455,Deterioro
W3,h_mean,1.3053994218274108,0.364,Sí,0.536040979213176,Feature numérica,KS,Drift significativo,2,7.746558549276895e-29,0.364,,,-0.27828216523455185,34.173431902550455,Deterioro
W3,laplacian_variance,0.7717437780392585,0.444,Sí,0.536040979213176,Feature numérica,KS,Drift significativo,2,2.0483203455421906e-43,0.444,,,-0.27828216523455185,34.173431902550455,Deterioro
W3,r_mean,0.198225513841065,0.194,Warning,0.536040979213176,Feature numérica,KS,Warning,1,3.170831187915581e-08,0.194,,,-0.27828216523455185,34.173431902550455,Deterioro
W3,r_std,0.12835795496309954,0.104,Warning,0.536040979213176,Feature numérica,KS,Warning,1,0.013056909351763048,0.104,,,-0.27828216523455185,34.173431902550455,Deterioro
W3,s_mean,0.11814854609843543,0.114,Warning,0.536040979213176,Feature numérica,KS,Warning,1,0.004721132542810547,0.114,,,-0.27828216523455185,34.173431902550455,Deterioro
W3,v_mean,0.35632201472076874,0.23,Sí,0.536040979213176,Feature numérica,KS,Drift significativo,2,1.7584499440038907e-11,0.23,,,-0.27828216523455185,34.173431902550455,Deterioro
W4,TARGET,,49.537184864022905,Warning,0.2778529106665682,Target,Chi2,Warning,1,5.264229996504904e-07,,0.22256950569209366,0.21,-0.5364702337811595,65.879281147657,Deterioro
W4,b_mean,0.2560683504627631,0.208,Sí,0.2778529106665682,Feature numérica,KS,Drift significativo,2,2.1093489372578944e-09,0.208,,,-0.5364702337811595,65.879281147657,Deterioro
W4,b_std,0.6084651739170531,0.326,Sí,0.2778529106665682,Feature numérica,KS,Drift significativo,2,4.4114181107424214e-23,0.326,,,-0.5364702337811595,65.879281147657,Deterioro
W4,brightness_mean,0.6649605957033764,0.328,Sí,0.2778529106665682,Feature numérica,KS,Drift significativo,2,2.5187935108964165e-23,0.328,,,-0.5364702337811595,65.879281147657,Deterioro
W4,contrast_std,0.5415908290384663,0.266,Sí,0.2778529106665682,Feature numérica,KS,Drift significativo,2,2.3335891442572566e-15,0.266,,,-0.5364702337811595,65.879281147657,Deterioro
W4,edge_density,3.986665599487426,0.37,Sí,0.2778529106665682,Feature numérica,KS,Drift significativo,2,1.1566611657936851e-29,0.37,,,-0.5364702337811595,65.879281147657,Deterioro
W4,entropy,2.95616762181223,0.368,Sí,0.2778529106665682,Feature numérica,KS,Drift significativo,2,2.0058554394143655e-29,0.368,,,-0.5364702337811595,65.879281147657,Deterioro
W4,excess_green,0.7212675242212796,0.318,Sí,0.2778529106665682,Feature numérica,KS,Drift significativo,2,5.722528306818556e-22,0.318,,,-0.5364702337811595,65.879281147657,Deterioro
W4,g_mean,0.4609861782371252,0.284,Sí,0.2778529106665682,Feature numérica,KS,Drift significativo,2,1.6822051085494258e-17,0.284,,,-0.5364702337811595,65.879281147657,Deterioro
W4,g_std,0.8006905578113759,0.314,Sí,0.2778529106665682,Feature numérica,KS,Drift significativo,2,1.9230312713286585e-21,0.314,,,-0.5364702337811595,65.879281147657,Deterioro
W4,h_mean,2.4771238178259454,0.512,Sí,0.2778529106665682,Feature numérica,KS,Drift significativo,2,1.3443839610975459e-58,0.512,,,-0.5364702337811595,65.879281147657,Deterioro
W4,laplacian_variance,1.789289249821858,0.598,Sí,0.2778529106665682,Feature numérica,KS,Drift significativo,2,1.169282280105387e-81,0.598,,,-0.5364702337811595,65.879281147657,Deterioro
W4,r_mean,0.6736540788861038,0.31,Sí,0.2778529106665682,Feature numérica,KS,Drift significativo,2,6.401613604242004e-21,0.31,,,-0.5364702337811595,65.879281147657,Deterioro
W4,r_std,0.6699687319950168,0.274,Sí,0.2778529106665682,Feature numérica,KS,Drift significativo,2,2.735706395853574e-16,0.274,,,-0.5364702337811595,65.879281147657,Deterioro
W4,s_mean,0.21516344939088197,0.184,Sí,0.2778529106665682,Feature numérica,KS,Drift significativo,2,1.972071465872184e-07,0.184,,,-0.5364702337811595,65.879281147657,Deterioro
W4,v_mean,0.7591441993033305,0.356,Sí,0.2778529106665682,Feature numérica,KS,Drift significativo,2,1.3494929688020344e-27,0.356,,,-0.5364702337811595,65.879281147657,Deterioro
