timestamp,feature,metrica,valor,umbral,severidad,accion_recomendada,ventana,performance_f1_macro,criterio,alert_key
2026-08-28 06:19:24.816401+00:00,edge_density,KS,0.204,0.2,Drift significativo,"Evaluar reentrenamiento, rollback o intervención semi-automática.",W3,0.536040979213176,D_KS >= 0.20 y p_FDR < 0.05,d06084a7228049a1
2026-08-28 06:19:24.816455+00:00,entropy,PSI,0.5120807815449563,0.2,Drift significativo,"Evaluar reentrenamiento, rollback o intervención semi-automática.",W3,0.536040979213176,PSI >= 0.20,1d41f725d34fc8fa
2026-08-28 06:19:24.816471+00:00,entropy,KS,0.224,0.2,Drift significativo,"Evaluar reentrenamiento, rollback o intervención semi-automática.",W3,0.536040979213176,D_KS >= 0.20 y p_FDR < 0.05,2d263fd349929a89
2026-08-28 06:19:24.816523+00:00,excess_green,PSI,0.3444652607105042,0.2,Drift significativo,"Evaluar reentrenamiento, rollback o intervención semi-automática.",W3,0.536040979213176,PSI >= 0.20,575b8792213a4875
2026-08-28 06:19:24.816539+00:00,excess_green,KS,0.186,0.1,Warning,Revisión manual y seguimiento reforzado.,W3,0.536040979213176,0.10 <= D_KS < 0.20 y p_FDR < 0.05,b77814267af0d625
2026-08-28 06:19:24.816592+00:00,g_mean,PSI,0.1249442674052957,0.1,Warning,Revisión manual y seguimiento reforzado.,W3,0.536040979213176,0.10 <= PSI < 0.20,667f27e2e7ee9daa
2026-08-28 06:19:24.816608+00:00,g_mean,KS,0.132,0.1,Warning,Revisión manual y seguimiento reforzado.,W3,0.536040979213176,0.10 <= D_KS < 0.20 y p_FDR < 0.05,8e88f2f51bf75265
2026-08-28 06:19:24.816679+00:00,g_std,PSI,0.2881243158678617,0.2,Drift significativo,"Evaluar reentrenamiento, rollback o intervención semi-automática.",W3,0.536040979213176,PSI >= 0.20,1e4678084da28446
2026-08-28 06:19:24.816697+00:00,g_std,KS,0.206,0.2,Drift significativo,"Evaluar reentrenamiento, rollback o intervención semi-automática.",W3,0.536040979213176,D_KS >= 0.20 y p_FDR < 0.05,7540445e99093366
2026-08-28 06:19:24.816753+00:00,h_mean,PSI,1.3053994218274108,0.2,Drift significativo,"Evaluar reentrenamiento, rollback o intervención semi-automática.",W3,0.536040979213176,PSI >= 0.20,c6d0bd60afd99231
2026-08-28 06:19:24.816768+00:00,h_mean,KS,0.364,0.2,Drift significativo,"Evaluar reentrenamiento, rollback o intervención semi-automática.",W3,0.536040979213176,D_KS >= 0.20 y p_FDR < 0.05,2be37ecf5fedc7e4
2026-08-28 06:19:24.816821+00:00,laplacian_variance,PSI,0.7717437780392585,0.2,Drift significativo,"Evaluar reentrenamiento, rollback o intervención semi-automática.",W3,0.536040979213176,PSI >= 0.20,8c4aaaa5bc84e590
2026-08-28 06:19:24.816836+00:00,laplacian_variance,KS,0.444,0.2,Drift significativo,"Evaluar reentrenamiento, rollback o intervención semi-automática.",W3,0.536040979213176,D_KS >= 0.20 y p_FDR < 0.05,c274a92926d5a702
2026-08-28 06:19:24.816888+00:00,r_mean,PSI,0.198225513841065,0.1,Warning,Revisión manual y seguimiento reforzado.,W3,0.536040979213176,0.10 <= PSI < 0.20,448c0f006ded68b9
2026-08-28 06:19:24.816903+00:00,r_mean,KS,0.194,0.1,Warning,Revisión manual y seguimiento reforzado.,W3,0.536040979213176,0.10 <= D_KS < 0.20 y p_FDR < 0.05,6dc529ef0276219b
2026-08-28 06:19:24.816957+00:00,r_std,PSI,0.1283579549630995,0.1,Warning,Revisión manual y seguimiento reforzado.,W3,0.536040979213176,0.10 <= PSI < 0.20,6ee5de216cf439ac
2026-08-28 06:19:24.816973+00:00,r_std,KS,0.104,0.1,Warning,Revisión manual y seguimiento reforzado.,W3,0.536040979213176,0.10 <= D_KS < 0.20 y p_FDR < 0.05,92a34d31861c28cc
2026-08-28 06:19:24.817026+00:00,s_mean,PSI,0.1181485460984354,0.1,Warning,Revisión manual y seguimiento reforzado.,W3,0.536040979213176,0.10 <= PSI < 0.20,0a078c6e79198914
2026-08-28 06:19:24.817042+00:00,s_mean,KS,0.114,0.1,Warning,Revisión manual y seguimiento reforzado.,W3,0.536040979213176,0.10 <= D_KS < 0.20 y p_FDR < 0.05,8c4a5038d65fc3bc
2026-08-28 06:19:24.817095+00:00,v_mean,PSI,0.3563220147207687,0.2,Drift significativo,"Evaluar reentrenamiento, rollback o intervención semi-automática.",W3,0.536040979213176,PSI >= 0.20,56d55c1b8faa78e7
2026-08-28 06:19:24.817110+00:00,v_mean,KS,0.23,0.2,Drift significativo,"Evaluar reentrenamiento, rollback o intervención semi-automática.",W3,0.536040979213176,D_KS >= 0.20 y p_FDR < 0.05,df8969bd32f85363
2026-08-28 06:19:24.817167+00:00,TARGET,Cramers_V,0.2225695056920936,0.1,Warning,Revisión manual y seguimiento reforzado.,W4,0.2778529106665682,0.10 <= Cramers_V < 0.30 y p_FDR < 0.05,00fc42723357ed8e
2026-08-28 06:19:24.817223+00:00,b_mean,PSI,0.2560683504627631,0.2,Drift significativo,"Evaluar reentrenamiento, rollback o intervención semi-automática.",W4,0.2778529106665682,PSI >= 0.20,bbabbbd188c348a7
2026-08-28 06:19:24.817239+00:00,b_mean,KS,0.208,0.2,Drift significativo,"Evaluar reentrenamiento, rollback o intervención semi-automática.",W4,0.2778529106665682,D_KS >= 0.20 y p_FDR < 0.05,54d890e661419d9e
2026-08-28 06:19:24.817292+00:00,b_std,PSI,0.6084651739170531,0.2,Drift significativo,"Evaluar reentrenamiento, rollback o intervención semi-automática.",W4,0.2778529106665682,PSI >= 0.20,4f273d55a973db14
