Ventana,Feature,bin,limite_inferior,limite_superior,n_referencia,n_produccion,E_i,A_i,contribucion_psi
W1,r_std,9,0.20455068945884705,0.2198264256119728,50,46,0.1,0.092,0.0006670528715124097
W1,r_std,10,0.2198264256119728,inf,50,49,0.1,0.098,4.040541463503897e-05
W1,g_std,1,-inf,0.0958118349313736,50,52,0.1,0.10400000000000001,0.00015688285261312545
W1,g_std,2,0.0958118349313736,0.10595177263021469,50,35,0.1,0.07000000000000002,0.010700248318161958
W1,g_std,3,0.10595177263021469,0.1151866726577282,50,37,0.1,0.07400000000000001,0.007828732412381958
W1,g_std,4,0.1151866726577282,0.12553602159023286,50,55,0.1,0.11000000000000001,0.0009531017980432502
W1,g_std,5,0.12553602159023286,0.13885176181793213,50,59,0.1,0.11800000000000001,0.0029792598925963204
W1,g_std,6,0.13885176181793213,0.15363897383213046,50,67,0.1,0.13400000000000004,0.009950766874735896
W1,g_std,7,0.15363897383213046,0.16894653886556626,50,56,0.1,0.11200000000000002,0.0013599442236840403
W1,g_std,8,0.16894653886556626,0.1819726198911667,50,52,0.1,0.10400000000000001,0.00015688285261312545
W1,g_std,9,0.1819726198911667,0.1970553368330002,50,44,0.1,0.08800000000000001,0.0015340004581186181
W1,g_std,10,0.1970553368330002,inf,50,43,0.1,0.08600000000000001,0.002111520456284171
W1,b_std,1,-inf,0.13042483180761338,50,50,0.1,0.1,0.0
W1,b_std,2,0.13042483180761338,0.1496647447347641,50,45,0.1,0.09,0.001053605156578265
W1,b_std,3,0.1496647447347641,0.16307673156261446,50,50,0.1,0.1,0.0
W1,b_std,4,0.16307673156261446,0.1728760153055191,50,37,0.1,0.074,0.007828732412381969
W1,b_std,5,0.1728760153055191,0.1828407123684883,50,61,0.1,0.122,0.004374718892393632
W1,b_std,6,0.1828407123684883,0.1933268040418625,50,66,0.1,0.132,0.008884215571144946
W1,b_std,7,0.1933268040418625,0.20356869399547578,50,50,0.1,0.1,0.0
W1,b_std,8,0.20356869399547578,0.21614125072956086,50,49,0.1,0.098,4.040541463503897e-05
W1,b_std,9,0.21614125072956086,0.234844446182251,50,60,0.1,0.12,0.00364643113587909
W1,b_std,10,0.234844446182251,inf,50,32,0.1,0.064,0.016066335694623103
W1,h_mean,1,-inf,16.77193298339844,50,39,0.1,0.078,0.005466149904566996
W1,h_mean,2,16.77193298339844,27.49205322265625,50,55,0.1,0.11,0.000953101798043247
W1,h_mean,3,27.49205322265625,35.39204711914063,50,46,0.1,0.092,0.0006670528715124097
W1,h_mean,4,35.39204711914063,42.54484863281251,50,43,0.1,0.086,0.0021115204562841745
W1,h_mean,5,42.54484863281251,61.645263671875,50,66,0.1,0.132,0.008884215571144946
W1,h_mean,6,61.645263671875,84.74396362304688,50,74,0.1,0.148,0.018818020213249124
W1,h_mean,7,84.74396362304688,170.9143798828126,50,37,0.1,0.074,0.007828732412381969
W1,h_mean,8,170.9143798828126,245.53928222656273,50,55,0.1,0.11,0.000953101798043247
W1,h_mean,9,245.53928222656273,322.25969848632815,50,40,0.1,0.08,0.004462871026284198
W1,h_mean,10,322.25969848632815,inf,50,45,0.1,0.09,0.001053605156578265
W1,s_mean,1,-inf,0.1719736486673355,50,50,0.1,0.1,0.0
W1,s_mean,2,0.1719736486673355,0.19136615395545958,50,48,0.1,0.096,0.0001632879780810208
W1,s_mean,3,0.19136615395545958,0.20842131823301316,50,56,0.1,0.112,0.0013599442236840364
W1,s_mean,4,0.20842131823301316,0.2259362280368805,50,65,0.1,0.13,0.007870927934024732
W1,s_mean,5,0.2259362280368805,0.24070489406585693,50,42,0.1,0.084,0.002789654194316445
W1,s_mean,6,0.24070489406585693,0.2568002998828888,50,44,0.1,0.088,0.0015340004581186216
