Ventana,Feature,KS_statistic,p_value,Magnitud_KS,Significativo_raw,Alpha,Referencia,p_value_fdr,Significativo_FDR,Interpretacion_KS
W3,g_mean,0.132,0.0003237472048853522,Moderada,True,0.05,W0,0.0005713185968565039,True,Cambio moderado con evidencia estadística
W3,s_mean,0.114,0.00299005061044668,Moderada,True,0.05,W0,0.004721132542810547,True,Cambio moderado con evidencia estadística
W3,r_std,0.104,0.008922221390371415,Moderada,True,0.05,W0,0.013056909351763048,True,Cambio moderado con evidencia estadística
W4,laplacian_variance,0.598,1.9488038001756452e-83,Alta,True,0.05,W0,1.169282280105387e-81,True,Cambio distributivo alto y estadísticamente significativo
W4,h_mean,0.512,4.481279870325153e-60,Alta,True,0.05,W0,1.3443839610975459e-58,True,Cambio distributivo alto y estadísticamente significativo
W4,edge_density,0.37,7.7110744386245675e-31,Alta,True,0.05,W0,1.1566611657936851e-29,True,Cambio distributivo alto y estadísticamente significativo
W4,entropy,0.368,1.6715461995119712e-30,Alta,True,0.05,W0,2.0058554394143655e-29,True,Cambio distributivo alto y estadísticamente significativo
W4,v_mean,0.356,1.5744084636023734e-28,Alta,True,0.05,W0,1.3494929688020344e-27,True,Cambio distributivo alto y estadísticamente significativo
W4,brightness_mean,0.328,3.3583913478618886e-24,Alta,True,0.05,W0,2.5187935108964165e-23,True,Cambio distributivo alto y estadísticamente significativo
W4,b_std,0.326,6.617127166113632e-24,Alta,True,0.05,W0,4.4114181107424214e-23,True,Cambio distributivo alto y estadísticamente significativo
W4,excess_green,0.318,9.537547178030926e-23,Alta,True,0.05,W0,5.722528306818556e-22,True,Cambio distributivo alto y estadísticamente significativo
W4,g_std,0.314,3.525557330769207e-22,Alta,True,0.05,W0,1.9230312713286585e-21,True,Cambio distributivo alto y estadísticamente significativo
W4,r_mean,0.31,1.2803227208484007e-21,Alta,True,0.05,W0,6.401613604242004e-21,True,Cambio distributivo alto y estadísticamente significativo
W4,g_mean,0.284,3.644777735190423e-18,Alta,True,0.05,W0,1.6822051085494258e-17,True,Cambio distributivo alto y estadísticamente significativo
W4,r_std,0.274,6.383314923658339e-17,Alta,True,0.05,W0,2.735706395853574e-16,True,Cambio distributivo alto y estadísticamente significativo
W4,contrast_std,0.266,5.833972860643141e-16,Alta,True,0.05,W0,2.3335891442572566e-15,True,Cambio distributivo alto y estadísticamente significativo
W4,b_mean,0.208,7.031163124192981e-10,Alta,True,0.05,W0,2.1093489372578944e-09,True,Cambio distributivo alto y estadísticamente significativo
W4,s_mean,0.184,8.2169644411341e-08,Moderada,True,0.05,W0,1.972071465872184e-07,True,Cambio moderado con evidencia estadística
